Year,Category,Nominee,Info,Won
2010 (83rd),Actor Leading,Javier Bardem,Biutiful {'Uxbal'},NO
2010 (83rd),Actor Leading,Jeff Bridges,True Grit {'Rooster Cogburn'},NO
2010 (83rd),Actor Leading,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},NO
2010 (83rd),Actor Leading,Colin Firth,The King's Speech {'King George VI'},YES
2010 (83rd),Actor Leading,James Franco,127 Hours {'Aron Ralston'},NO
2009 (82nd),Actor Leading,Jeff Bridges,Crazy Heart {'Bad Blake'},YES
2009 (82nd),Actor Leading,George Clooney,Up in the Air {'Ryan Bingham'},NO
2009 (82nd),Actor Leading,Colin Firth,A Single Man {'George'},NO
2009 (82nd),Actor Leading,Morgan Freeman,Invictus {'Nelson Mandela'},NO
2009 (82nd),Actor Leading,Jeremy Renner,The Hurt Locker {'Staff Sergeant William James'},NO
2008 (81st),Actor Leading,Richard Jenkins,The Visitor {'Walter'},NO
2008 (81st),Actor Leading,Frank Langella,Frost/Nixon {'Richard Nixon'},NO
2008 (81st),Actor Leading,Sean Penn,Milk {'Harvey Milk'},YES
2008 (81st),Actor Leading,Brad Pitt,The Curious Case of Benjamin Button {'Benjamin Button'},NO
2008 (81st),Actor Leading,Mickey Rourke,The Wrestler {'Randy'},NO
2007 (80th),Actor Leading,George Clooney,Michael Clayton {'Michael Clayton'},NO
2007 (80th),Actor Leading,Daniel Day-Lewis,There Will Be Blood {'Daniel Plainview'},YES
2007 (80th),Actor Leading,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street {'Sweeney Todd'},NO
2007 (80th),Actor Leading,Tommy Lee Jones,In the Valley of Elah {'Hank Deerfield'},NO
2007 (80th),Actor Leading,Viggo Mortensen,Eastern Promises {'Nikolai'},NO
2006 (79th),Actor Leading,Leonardo DiCaprio,Blood Diamond {'Danny Archer'},NO
2006 (79th),Actor Leading,Ryan Gosling,Half Nelson {'Dan Dunne'},NO
2006 (79th),Actor Leading,Peter O'Toole,Venus {'Maurice'},NO
2006 (79th),Actor Leading,Will Smith,The Pursuit of Happyness {'Chris Gardner'},NO
2006 (79th),Actor Leading,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES
2005 (78th),Actor Leading,Philip Seymour Hoffman,Capote {'Truman Capote'},YES
2005 (78th),Actor Leading,Terrence Howard,Hustle & Flow {'DJay'},NO
2005 (78th),Actor Leading,Heath Ledger,Brokeback Mountain {'Ennis Del Mar'},NO
2005 (78th),Actor Leading,Joaquin Phoenix,Walk the Line {'John R. Cash'},NO
2005 (78th),Actor Leading,David Strathairn,"Good Night, and Good Luck. {'Edward R. Murrow'}",NO
2004 (77th),Actor Leading,Don Cheadle,Hotel Rwanda {'Paul Rusesabagina'},NO
2004 (77th),Actor Leading,Johnny Depp,Finding Neverland {'Sir James Matthew Barrie'},NO
2004 (77th),Actor Leading,Leonardo DiCaprio,The Aviator {'Howard Hughes'},NO
2004 (77th),Actor Leading,Clint Eastwood,Million Dollar Baby {'Frankie Dunn'},NO
2004 (77th),Actor Leading,Jamie Foxx,Ray {'Ray Charles'},YES
2003 (76th),Actor Leading,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl {'Jack Sparrow'},NO
2003 (76th),Actor Leading,Ben Kingsley,House of Sand and Fog {'Behrani'},NO
2003 (76th),Actor Leading,Jude Law,Cold Mountain {'Inman'},NO
2003 (76th),Actor Leading,Bill Murray,Lost in Translation {'Bob Harris'},NO
2003 (76th),Actor Leading,Sean Penn,Mystic River {'Jimmy Markum'},YES
2002 (75th),Actor Leading,Adrien Brody,The Pianist {'Wladyslaw Szpilman'},YES
2002 (75th),Actor Leading,Nicolas Cage,Adaptation {'Charlie Kaufman & Donald Kaufman'},NO
2002 (75th),Actor Leading,Michael Caine,The Quiet American {'Thomas Fowler'},NO
2002 (75th),Actor Leading,Daniel Day-Lewis,Gangs of New York {'Bill 'The Butcher' Cutting'},NO
2002 (75th),Actor Leading,Jack Nicholson,About Schmidt {'Warren Schmidt'},NO
2001 (74th),Actor Leading,Russell Crowe,A Beautiful Mind {'John Nash'},NO
2001 (74th),Actor Leading,Sean Penn,I Am Sam {'Sam Dawson'},NO
2001 (74th),Actor Leading,Will Smith,Ali {'Muhammad Ali'},NO
2001 (74th),Actor Leading,Denzel Washington,Training Day {'Alonzo'},YES
2001 (74th),Actor Leading,Tom Wilkinson,In the Bedroom {'Matt Fowler'},NO
2000 (73rd),Actor Leading,Javier Bardem,Before Night Falls {'Reinaldo Arenas'},NO
2000 (73rd),Actor Leading,Russell Crowe,Gladiator {'Maximus Decimus Meridius'},YES
2000 (73rd),Actor Leading,Tom Hanks,Cast Away {'Chuck Noland'},NO
2000 (73rd),Actor Leading,Ed Harris,Pollock {'Jackson Pollock'},NO
2000 (73rd),Actor Leading,Geoffrey Rush,Quills {'The Marquis de Sade'},NO
1999 (72nd),Actor Leading,Russell Crowe,The Insider {'Jeffrey Wigand'},NO
1999 (72nd),Actor Leading,Richard Farnsworth,The Straight Story {'Alvin Straight'},NO
